Składniki	Складники
(Kup jasnobrązowy strój)	(Придбати світло-коричневе вбрання)
(Kup czarny strój)	(Придбати чорне вбрання)
Skórzany pancerz (700 SZ).	Шкіряний обладунок (700 золота).
Strój kolczy (400 SZ).	Кольчуга (400 золота).
Pancerz starszego gońca (800 SZ).	Обладунок старшого посланця (800 золота).
Lekki strój kolczy (250 SZ)	Легка кольчуга (250 золота)
Lekki pancerz Południowca (1500 SZ)	Легкий південний обладунок (1500 золота)
Ciężki pancerz Południowca (3000 SZ)	Важкий південний обладунок (3000 золота)
Zbroja z pancerzy krabów (2200 SZ)	Обладунок з крабових панцирів (2200 золота)
Zielony strój podróżnika (350 SZ)	Зелене вбрання мандрівника (350 золота)
Niebieski strój podróżnika (350 SZ)	Синє вбрання мандрівника (350 золота)
Jasny strój podróżnika (150 SZ)	Світле вбрання мандрівника (150 золота)
Ciemny strój podróżnika (150 SZ)	Темне вбрання мандрівника (150 золота)
Niebieskie ubranie robocze (30 SZ)	Синє робоче вбрання (30 золота)
Jasny strój marynarza (100 SZ)	Світле вбрання моряка (100 золота)
Turkusowy strój marynarza (100 SZ)	Бірюзове вбрання моряка (100 золота)
Brązowy strój marynarza (100 SZ)	Коричневе вбрання моряка (100 золота)
Ciemny strój marynarza (100 SZ)	Темне вбрання моряка (100 золота)
(Kup biało-czerwony strój)	(Придбати біло-червоне вбрання)
Kopalnia Gildii Kupieckiej	Копальня Торгової Гільдії
Skupowanie trofeów - Frida	Купівля трофеїв – Фріда
Zapotrzebowanie - Jil	Замовлення – Джил
Zapotrzebowanie - Remy	Замовлення – Ремі
Zapotrzebowanie - Lokvar	Замовлення – Локвар
Niebezpieczne tereny wokół wioski!	Небезпечні місця в околицях села!
Bestia znowu atakuje!	Звір знову атакує!
Informacja odnośnie kolejnej fali uchodźców	Інформація про наступну хвилю біженців
Dziwne, kamienne znaleziska!	Дивні кам'яні знахідки!
Trener - Paulus	Вчитель – Паулюс
Trener - Folkard	Вчитель – Фолкард
Trener - Markus	Вчитель – Маркус
Trener - Kipper	Вчитель – Кіпер
Trener - Stone	Вчитель – Стоун
Zarejestrowani handlarze - Silbach	Зареєстровані торговці – Зільбах
Trener - Straż miejska	Вчителі – Міська варта
Trener - Gildia Kupiecka	Вчителі – Торгова Гільдія
Trener - Norman	Вчитель – Норман
Trener - Odgar	Вчитель – Одгар
Trener - Allan	Вчитель – Аллан
Trener - Nirka	Вчитель – Нірка
Trener - Dack	Вчитель – Дак
Trener - Patracjan	Вчитель – Патриціан
Zarejestrowani handlarze - Miasto	Зареєстровані торговці – Місто
Zarejestrowani handlarze - Port	Зареєстровані торговці – Гавань
Zarejestrowani handlarze - Stare Miasto	Зареєстровані торговці – Старе місто
Licytacja w Starym Mieście	Аукціон у Старому місті
Ochrona do Kopalni Soli poszukiwana	Потрібна охорона в Соляну шахту
Londram padło!	Лондрам впав!
Górnicy potrzebni w Górniczej Dolinie!	Потрібні рудокопи в Гірничу Долину!
Obostrzenia dotyczące kanałów	Обмеження щодо канализації
Nowa fala uchodźców	Нова хвиля біженців
Zamach na Volkera!	Замах на Волкера!
Przybycie Królewskiego Wysłannika	Прибуття Королівського посланця
Podróże i handel w Wilczym Leżu	Подорожі та торгівля в Вовчому лігві
Niebezpieczne trakty na wyspie Archolos	Небезпечні маршрути на острові Архолос
Muzeum w mieście Archolos	Музей у місті Архолос
List gończy - Niepokojąca bestia	Розшукується – Тривожний звір
Notatka zerwana z tablicy ogłoszeń.	Записка, зірвана з дошки оголошень.
W menu głównym	В головному меню
%s - Poziom %d - Rozdział %d	%s - Рівень %d - Розділ %d
Usmażyłeś	Ви посмажили
Zwój	Сувій
Zaklęcie przywołania	Заклинання виклику
Zaklęcie elektryczne	Заклинання блискавки
Zaklęcie ogniste	Заклинання вогню
Inwestycyjne	Потрібно підтримувати
Obszarowe	По площі
Trofeum wykorzystywane	Трофей, що використовується
do wytwarzania wyposażenia.	на виготовлення спорядження.
Waluta używana w Królestwie Myrtany.	Валюта, що використовується в Королівстві Міртана.
Własność Vrazki.	Власність Вразки.
Pyszny ser, robiony na owczym mleku.	Смачний сир з овечого молока.
Jeden z podstawowych składników diety	Один з основних продуктів раціону
mieszkańców Wschodniego Archipelagu.	мешканців Східного Архіпелагу.
Marchewka	Морквина
Popularne warzywo, składnik wielu potraw.	Популярний овоч, інгредієнт для багатьох страв.
Jasne, mętne piwo, które	Свытле нефільтроване пиво, яке
świetnie gasi pragnienie.	чудово втамовує спрагу.
Torebka pieprzu	Мішечок перцю
Torba przyprawy o mocnym zapachu.	Мішечок спецій з сильним ароматом.
Przydatna do gotowania, wystarczy na wiele potraw.	Використовується в кулінарії, вистачить на багато страв.
Leśna jagoda	Лісова ягода
Jagody powszechnie występujące w lasach Archolos.	Ягода, яка часто зустрічається в лісах Архолосу.
Wykorzystywana do wyrobu strzał, bełtów i szaszłyków.	Використовується для виготовлення стріл, болтів та шашликів.
Prosty nóż	Ніж
Wykorzystywany do pracy łuczarskiej.	Використовується для виготовлення луків.
Sól wydobywana z Kopalni Królewskiej na Archolos.	Сіль, видобута з Королівської копальні на Архолосі.
Przydatna do gotowania, wystarczy na wiele potraw.	Використовується в кулінарії, вистачить на багато страв.
Zwykła pochodnia.	Просто смолоскип.
Po upieczeniu, wygląda zjadliwie.	Після обсмаження виглядає цілком їстівним.
Mierny posiłek ze szczurzego mięsa,	Кепська пожива зі щурячого м'яса,
ale lepsze to niż głód.	але все ж краще, ніж голод.
Wymagane Kowalstwo:        Zielony	Необхідне Ковальство: Початківець
Wymagane Kowalstwo:        Doświadczony	Необхідне Ковальство: Досвідчений
Wymagane Kowalstwo:        Mistrz	Необхідне Ковальство: Майстер
Wytrych	Відмичка
Proste metalowe narzędzie.	Простий металевий інструмент
