%s - Poziom %d - Rozdział %d	%s - Рівень %d - Розділ %d
'Ciasto' z łajna	'Пиріг' з гною
Można nim również przepisać zwoje.	Ним також можна переписувати сувої.
Można odnieść wrażenie, że jest z nim coś nie tak.	Здається, з нею щось не так.
Mroczne Tajemnice - Zamtuz	Темні Таємниці – Будинок розпусти
Mroczny Paladyn	Темний Паладин
Mroczny Paladyn - Browar	Темний Паладин – Броварня
Musi liczyć naprawdę wiele lat.	Мабуть, їй дуже багато років.
Musi mieć sporo lat.	Схоже, йому вже чимало років.
Musi należeć do Heisnera.	Має належати Гейснеру.
Musi otwierać jakiś kufer albo schowek.	Мабуть, він відкриває якусь скриню або сховок.
Musiała należeć do zwiadowcy	Мабуть, вона належала розвіднику,
Musiała połknąć coś dużego.	Мабуть, вона проковтнула щось велике.
Muszla małży.	Мушля молюска.
Muszę je teraz wrzucić do kadzi z wodą.	Тепер мені потрібно покласти їх у казан з водою.
Muszę ją schłodzić.	Потрібно її охолодити.
Muszę nimi zabezpieczyć dach magazynu.	Мені потрібно закріпити ними дах складу.
Muszę odłożyć ją na odpowiednią półkę.	Мені потрібно покласти її назад на правильну полицю.
Muszę uważać, komu ją pokazuję.	Я маю бути обережним з тим, кому його показувати.
Muzeum w mieście Archolos	Музей у місті Архолос
Muzykant	Музикант
Mułowy mirt	Мирт болотний
Mytnik	Митник
Myśliwy	Загонич
Mówca	Оповісник
Mądrość Bogów	Мудрість Богів
Mądrość Generała Subliego	Мудрість генерала Сублі
Młoda polna bestia	Молодий польовий хижак
Młody cieniostwór	Молодий тінезвір
Młody czarny szczur	Молодий чорний щур
Młody dzik	Молодий кабан
Młody głodny wilk	Молодий голодний вовк
Młody kretoszczur	Молодий кротощур
Młody olbrzymi szczur	Молодий гігантський щур
Młody pełzacz	Молодий повзун
Młody troll	Молодий троль
Młody troll jaskiniowy	Молодий печерний троль
Młody wilk	Молодий вовк
Młody wąż morski	Молодий хвилежер
Młody ścierwojad	Молодий падальник
Młot Bena	Молот Бена
Młot Ilse	Молот Ільзи
Młot Wilczego Syna	Молот Вовчого Сина
Młot bojowy	Бойовий молот
Młot kowalski	Ковальський молот
Młot piechura	Молот піхотинця
Młot wojenny	Бойовий молот
Młotek	Молоток
Mściciel	Месник
Na Tropie Bestii - Sklep łuczarski	По Сліду Звіра – Майстерня лучника
Na Uchodźstwie - Zakład łuczarski	У Вигнанні – Майстерня лучника
Na etykiecie widnieje napis:	На етикетці написано:
Na kuszy widnieją inicjały D.D.	На арбалеті викарбувані ініціали D.D.
Na liście znajduje się złamana królewska pieczęć.	На листі зламана королівська печатка.
Na pewno jest nieco warte.	Вона повинна бути досить цінною.
Na pewno ktoś chętnie ją kupi.	Напевно, хтось буде радий її придбати.
Na pewno ktoś chętnie to kupi.	Впевнений, що хтось із задоволенням її придбає.
Na pewno ktoś je odkupi.	Напевно, хтось це купить.
Na pewno ma jakieś zastosowanie.	Безумовно, має якесь застосування.
Na pewno mają jakieś zastosowanie.	Вони, безумовно, мають якесь застосування.
Na pewno można je sprzedać za	Безумовно, можна продати за
Na pewno należy do nowicjusza Artura.	Він точно належить послушнику Артуру.
Na pieczęci tego listu widnieje symbol Myrtany.	На печатці цього листа зображено символ Міртани.
Naciśnij przycisk	Натиснути на кнопку
Naczynie z prawdziwego srebra.	Чаша з чистого срібла.
Naczynie z prawdziwego złota.	Чаша з чистого золота.
Nadaje się do zabrania w podróż.	Ідеально підходить, щоб взяти з собою в дорогу.
Nadpalona notatka Volkera	Обгоріла записка Волкера
Nadtrawiony parzący ognisty korzeń.	Переварений паруючий вогняний корінь.
Nadziewacz	Набивач
Nagroda za wygranie wyzwania wilczego syna.	Нагорода за перемогу у випробуванні Вовчих Синів.
Naiwność	Наївність
Najczęściej porasta jałowe tereny,	Переважно росте на безплідних землях,
Najczęściej występuje w jaskiniach.	який найчастіше зустрічається в печерах.
Najemnik	Найманець
Najpewniej otwiera jej skrzynię.	Він, напевно, відкриває її скриню
Najpopularniejsza strawa łowców,	Найпопулярніша їжа мисливців,
Najprawdopodobniej otwiera	Швидше за все, він відчиняє
Najprostszy sposób na przyrządzenie kawałka mięsa.	Найпростіший спосіб приготувати шматок м'яса.
Najszybszy sposób na ostrygi, specjalność rybaków	Найшвидший спосіб приготувати устриці - це спеціальність
Najwyższy czas otworzyć kuferek.	Настав час відкрити скриню.
Najwyższy czas otworzyć paczkę.	Настав час відкрити пакунок.
Najwyższy czas otworzyć skrzynię.	Настав час відкрити ящик.
Najwyższy czas otworzyć skrzynkę.	Настав час відкрити ящик.
Najwyższy czas zająć się butelkami.	Настав час подбати про пляшки з пивом.
Nalewka dla Guido - Hershlik	Настоянка для Гвідо – Гершлік
Nalewka dla Guido - Rahma	Настоянка для Гвідо – Рамха
Nalewka malinowa	Малинова наливка
Należy do wilczego syna Devira.	Належить Вовчому Синові Девіру.
Napij się mikstury	Випити зілля
Napraw dach	Відремонтувати дах
Napraw palisadę	Полагодити частокіл
Naprawiona specjalna sieć.	Відремонтована спеціальна рибальська сітка.
Naprędce skreślona, pomięta notka.	Похапцем написана, зім'ята записка.
Narzędzie ogrodnicze	Садовий інструмент,
Narzędzie optyczne.	Оптичний прилад.
Narzędzie pracy pisarzy i urzędników.	Інструмент письменників і писарів.
Narzędzie pracy stolarzy, drwali i cieśli.	Інструмент для столярів, лісорубів та слюсарів.
Narzędzie używane do przybijania desek.	Інструмент, що використовується для прибивання дощок.
Nasiona Hershlika	Насіння Гершліка
Nasiona goblinich jagód	Насіння гоблінських ягід
Nasiona korzenia leczniczego	Насіння цілющого кореня
Nasiona niebieskiego bzu	Насіння синьої бузини
Nasiona ognistego korzenia	Насіння вогняного кореня
Nasiona ognistego ziela	Насіння вогняної трави
Nasiona ognistej pokrzywy	Насіння вогняної кропиви
Nasiona polnej jagody	Насіння лугової ягоди
Nasiona rdestu polnego	Насіння спориша польового
